xiao ming,potato,juice
david,orange,tea
david,orange,coffee
david,pizza,coffee
david,pizza,tea
xiao ming,apple,milk
david,pizza,coffee
david,tomato,tea
david,tomato,coffee
xiao ming,apple,juice
david,tomato,coffee
david,tomato,tea
xiao ming,banana,juice
xiao ming,apple,milk
david,pizza,tea
xiao ming,apple,juice
xiao ming,apple,juice
xiao ming,potato,milk
xiao ming,potato,juice
xiao ming,banana,milk
xiao ming,banana,milk
david,pizza,coffee
david,tomato,tea
xiao ming,apple,milk
david,orange,coffee
david,egg,tea
david,tomato,coffee
david,pizza,tea
david,orange,coffee
xiao ming,bread,juice
xiao ming,potato,juice
xiao ming,bread,milk
david,egg,coffee
david,orange,coffee
xiao ming,potato,juice
david,pizza,coffee
david,tomato,coffee
xiao ming,banana,juice
xiao ming,banana,juice
david,egg,coffee
xiao ming,potato,milk
xiao ming,apple,juice
xiao ming,banana,juice
xiao ming,potato,juice
xiao ming,potato,milk
david,pizza,coffee
david,orange,coffee
xiao ming,bread,milk
xiao ming,potato,juice
david,tomato,tea
david,egg,coffee
david,egg,tea
xiao ming,potato,milk
david,pizza,tea
david,tomato,tea
xiao ming,banana,milk
david,egg,tea
xiao ming,apple,juice
xiao ming,bread,juice
david,pizza,tea
david,orange,coffee
david,egg,coffee
david,orange,coffee
xiao ming,apple,milk
xiao ming,potato,milk
david,egg,tea
david,pizza,coffee
david,egg,coffee
xiao ming,banana,milk
xiao ming,bread,juice
xiao ming,potato,milk
xiao ming,potato,juice
david,egg,coffee
xiao ming,banana,juice
david,orange,coffee
xiao ming,potato,juice
xiao ming,banana,juice
david,egg,coffee
david,tomato,tea
david,orange,coffee
xiao ming,apple,juice
xiao ming,potato,milk
david,egg,tea
david,tomato,tea
xiao ming,banana,juice
xiao ming,bread,juice
david,pizza,tea
xiao ming,potato,juice
david,tomato,tea
david,pizza,coffee
david,tomato,coffee
xiao ming,banana,juice
david,pizza,coffee
david,tomato,tea
david,pizza,tea
david,pizza,tea
david,egg,tea
xiao ming,banana,milk
xiao ming,bread,juice
xiao ming,apple,milk
xiao ming,potato,milk
xiao ming,banana,juice
david,pizza,tea
david,tomato,coffee
xiao ming,banana,juice
xiao ming,apple,juice
david,tomato,tea
xiao ming,banana,milk
xiao ming,potato,milk
david,orange,coffee
david,orange,coffee
xiao ming,bread,milk
david,pizza,tea
david,egg,tea
david,orange,coffee
david,orange,coffee
david,pizza,tea
xiao ming,bread,milk
xiao ming,banana,juice
david,egg,tea
david,orange,coffee
david,egg,tea
david,egg,tea
david,orange,tea
xiao ming,banana,juice
xiao ming,apple,juice
david,tomato,coffee
xiao ming,banana,milk
david,egg,coffee
david,egg,tea
david,tomato,tea
xiao ming,apple,milk
david,tomato,tea
xiao ming,apple,juice
xiao ming,banana,milk
david,egg,coffee
david,pizza,coffee
david,tomato,coffee
xiao ming,potato,milk
xiao ming,potato,milk
david,egg,coffee
xiao ming,potato,milk
david,egg,coffee
xiao ming,potato,milk
xiao ming,banana,milk
david,pizza,coffee
xiao ming,potato,juice
xiao ming,banana,juice
david,tomato,tea
xiao ming,potato,milk
david,orange,tea
xiao ming,apple,juice
xiao ming,banana,milk
xiao ming,banana,juice
xiao ming,banana,milk
xiao ming,potato,juice
david,orange,tea
xiao ming,potato,milk
xiao ming,banana,juice
david,orange,coffee
xiao ming,bread,juice
david,pizza,tea
david,pizza,tea
xiao ming,apple,milk
xiao ming,potato,juice
xiao ming,banana,milk
xiao ming,bread,juice
david,pizza,tea
david,pizza,coffee
xiao ming,potato,milk
xiao ming,banana,juice
david,pizza,coffee
xiao ming,banana,juice
xiao ming,banana,milk
xiao ming,potato,juice
david,pizza,coffee
xiao ming,potato,juice
david,egg,coffee
david,tomato,tea
david,pizza,tea
david,pizza,coffee
david,orange,coffee
david,orange,coffee
xiao ming,potato,milk
david,orange,tea
xiao ming,banana,juice
david,orange,coffee
david,tomato,coffee
xiao ming,banana,milk
david,pizza,tea
david,egg,tea
david,orange,tea
david,egg,coffee
david,orange,coffee
david,egg,tea
david,tomato,tea
david,pizza,coffee
xiao ming,bread,milk
david,tomato,coffee
xiao ming,banana,milk
xiao ming,apple,milk
xiao ming,banana,milk
xiao ming,bread,juice
xiao ming,potato,milk
david,pizza,tea
david,egg,coffee
david,egg,coffee
david,orange,tea
david,pizza,tea
xiao ming,potato,juice
david,orange,coffee
david,pizza,coffee
david,tomato,coffee
david,orange,tea
david,pizza,tea
xiao ming,bread,milk
xiao ming,bread,milk
xiao ming,potato,milk
xiao ming,apple,milk
david,pizza,tea
david,pizza,coffee
david,egg,coffee
david,egg,tea
david,pizza,coffee
xiao ming,banana,juice
david,egg,tea
david,egg,tea
david,egg,coffee
xiao ming,banana,juice
xiao ming,potato,milk
david,pizza,tea
david,egg,coffee
david,egg,tea
xiao ming,bread,juice
david,orange,tea
david,tomato,tea
xiao ming,banana,milk
david,egg,tea
david,tomato,tea
david,tomato,tea
xiao ming,bread,juice
xiao ming,apple,juice
xiao ming,bread,milk
xiao ming,banana,juice
xiao ming,banana,milk
david,orange,coffee
david,tomato,coffee
david,orange,tea
xiao ming,banana,juice
xiao ming,banana,juice
david,tomato,coffee
xiao ming,banana,juice
david,tomato,coffee
david,pizza,coffee
david,egg,coffee
david,pizza,coffee
david,orange,tea
xiao ming,potato,juice
xiao ming,potato,milk
david,orange,coffee
david,tomato,coffee
david,orange,tea
david,pizza,tea
david,egg,tea
david,egg,tea
xiao ming,potato,milk
david,tomato,coffee
xiao ming,banana,milk
xiao ming,apple,milk
xiao ming,bread,milk
david,tomato,coffee
xiao ming,banana,juice
xiao ming,potato,juice
xiao ming,banana,milk
xiao ming,apple,juice
david,orange,tea
david,tomato,coffee
xiao ming,potato,juice
david,egg,coffee
xiao ming,bread,milk
david,orange,coffee
david,orange,coffee
david,orange,tea
xiao ming,potato,milk
david,tomato,tea
xiao ming,bread,milk
xiao ming,apple,milk
xiao ming,potato,milk
david,orange,coffee
david,egg,coffee
xiao ming,potato,milk
xiao ming,potato,juice
xiao ming,bread,milk
david,egg,tea
david,tomato,coffee
david,orange,coffee
xiao ming,banana,juice
david,orange,tea
xiao ming,banana,milk
xiao ming,bread,juice
xiao ming,apple,milk
david,pizza,coffee
david,orange,tea
xiao ming,banana,juice
david,pizza,tea
xiao ming,banana,juice
david,orange,tea
xiao ming,apple,milk
david,orange,tea
david,tomato,tea
david,orange,coffee
xiao ming,bread,juice
david,orange,tea
david,egg,tea
david,orange,tea
david,pizza,coffee
xiao ming,bread,juice
xiao ming,apple,milk
xiao ming,apple,juice
david,tomato,tea
david,egg,coffee
david,pizza,coffee
xiao ming,banana,juice
david,pizza,tea
david,pizza,coffee
xiao ming,banana,juice
david,tomato,coffee
xiao ming,bread,juice
david,orange,coffee
xiao ming,banana,juice
david,pizza,tea
david,pizza,coffee
xiao ming,banana,milk
xiao ming,bread,milk
xiao ming,apple,juice
xiao ming,bread,milk
david,orange,coffee
xiao ming,apple,milk
david,pizza,tea
david,egg,coffee
xiao ming,banana,milk
xiao ming,apple,juice
xiao ming,potato,milk
xiao ming,banana,juice
david,pizza,coffee
david,tomato,coffee
xiao ming,apple,milk
david,tomato,tea
david,egg,coffee
xiao ming,apple,juice
david,orange,coffee
xiao ming,bread,juice
xiao ming,banana,milk
david,egg,coffee
david,orange,coffee
xiao ming,apple,juice
david,pizza,coffee
david,orange,coffee
xiao ming,apple,juice
david,orange,tea
david,pizza,tea
xiao ming,apple,milk
david,orange,tea
xiao ming,apple,milk
david,pizza,tea
david,tomato,coffee
xiao ming,bread,juice
xiao ming,bread,juice
david,orange,coffee
david,pizza,coffee
david,orange,tea
david,tomato,coffee
xiao ming,apple,milk
xiao ming,bread,juice
david,egg,tea
xiao ming,bread,milk
xiao ming,banana,juice
david,pizza,tea
xiao ming,apple,juice
david,orange,tea
xiao ming,banana,juice
xiao ming,bread,milk
xiao ming,banana,juice
xiao ming,potato,juice
xiao ming,bread,milk
xiao ming,bread,juice
xiao ming,banana,milk
xiao ming,bread,juice
xiao ming,bread,juice
xiao ming,banana,juice
david,orange,coffee
xiao ming,bread,milk
david,orange,tea
david,egg,tea
david,pizza,tea
david,egg,coffee
xiao ming,banana,milk
david,pizza,coffee
xiao ming,bread,milk
xiao ming,banana,milk
david,pizza,tea
xiao ming,banana,milk
xiao ming,apple,milk
xiao ming,banana,milk
xiao ming,banana,milk
xiao ming,potato,juice
xiao ming,bread,juice
xiao ming,banana,milk
xiao ming,apple,juice
xiao ming,bread,milk
xiao ming,bread,juice
xiao ming,bread,juice
david,pizza,coffee
xiao ming,banana,milk
david,tomato,coffee
david,orange,coffee
xiao ming,bread,milk
david,egg,coffee
xiao ming,banana,milk
david,tomato,tea
xiao ming,banana,juice
david,orange,coffee
david,egg,tea
xiao ming,bread,milk
xiao ming,potato,juice
xiao ming,banana,milk
xiao ming,banana,juice
xiao ming,bread,juice
xiao ming,bread,milk
xiao ming,apple,milk
xiao ming,potato,milk
david,tomato,coffee
david,pizza,tea
david,tomato,tea
david,pizza,tea
david,orange,coffee
david,egg,coffee
xiao ming,apple,juice
david,egg,coffee
david,pizza,coffee
david,orange,coffee
david,tomato,tea
xiao ming,bread,juice
david,orange,tea
xiao ming,apple,juice
xiao ming,banana,milk
david,egg,tea
xiao ming,potato,juice
xiao ming,bread,milk
david,egg,coffee
xiao ming,apple,milk
xiao ming,potato,juice
david,orange,coffee
david,tomato,coffee
david,orange,tea
xiao ming,bread,juice
xiao ming,apple,milk
xiao ming,banana,milk
david,tomato,tea
xiao ming,bread,milk
xiao ming,potato,milk
xiao ming,banana,milk
david,pizza,tea
xiao ming,potato,juice
david,egg,coffee
xiao ming,bread,milk
xiao ming,bread,milk
david,orange,tea
xiao ming,bread,juice
xiao ming,bread,juice
david,tomato,coffee
xiao ming,potato,milk
david,orange,tea
david,tomato,tea
david,egg,coffee
david,orange,coffee
xiao ming,banana,milk
xiao ming,bread,milk
david,pizza,coffee
xiao ming,banana,milk
david,orange,coffee
xiao ming,banana,juice
david,pizza,tea
david,egg,tea
david,pizza,tea
david,tomato,tea
xiao ming,apple,juice
xiao ming,apple,milk
david,tomato,coffee
david,egg,tea
xiao ming,potato,milk
david,egg,tea
david,orange,tea
xiao ming,apple,juice
david,orange,coffee
xiao ming,bread,milk
david,orange,tea
david,orange,coffee
xiao ming,potato,juice
xiao ming,potato,juice
xiao ming,potato,juice
xiao ming,potato,juice
xiao ming,potato,milk
david,egg,coffee
xiao ming,apple,milk
xiao ming,apple,juice
xiao ming,apple,juice
david,tomato,tea
david,tomato,coffee
david,orange,tea
xiao ming,bread,juice
david,orange,tea
david,egg,coffee
xiao ming,potato,juice
xiao ming,apple,milk
xiao ming,bread,juice
xiao ming,potato,juice
david,egg,tea
david,orange,coffee
david,orange,coffee
david,egg,coffee
xiao ming,bread,milk
david,orange,coffee
xiao ming,potato,milk
david,tomato,tea
xiao ming,bread,milk
xiao ming,bread,milk
xiao ming,potato,juice
david,tomato,tea
xiao ming,apple,juice
david,tomato,tea
david,orange,tea
david,egg,tea
david,egg,tea
david,egg,tea
xiao ming,bread,milk
xiao ming,potato,milk
xiao ming,bread,milk
david,tomato,tea
xiao ming,bread,milk
david,tomato,tea
david,egg,tea
david,egg,coffee
david,tomato,coffee
xiao ming,apple,milk
xiao ming,banana,juice
david,orange,coffee
david,tomato,coffee
david,egg,tea
xiao ming,banana,juice
david,pizza,tea
david,tomato,tea
xiao ming,bread,juice
xiao ming,potato,milk
xiao ming,bread,milk
xiao ming,banana,milk
david,egg,coffee
david,pizza,tea
david,pizza,coffee
david,pizza,coffee
xiao ming,potato,milk
xiao ming,bread,juice
david,egg,tea
david,orange,tea
david,orange,tea
david,tomato,coffee
david,tomato,coffee
david,tomato,coffee
david,tomato,coffee
xiao ming,banana,juice
david,tomato,tea
david,egg,tea
xiao ming,apple,juice
xiao ming,apple,juice
xiao ming,banana,juice
david,orange,coffee
xiao ming,potato,juice
xiao ming,bread,juice
david,pizza,coffee
xiao ming,apple,juice
david,egg,coffee
xiao ming,potato,milk
david,orange,coffee
xiao ming,banana,juice
david,tomato,tea
xiao ming,bread,juice
david,pizza,tea
xiao ming,apple,milk
david,egg,coffee
xiao ming,banana,juice
xiao ming,potato,juice
xiao ming,potato,milk
david,orange,coffee
david,egg,coffee
david,pizza,coffee
xiao ming,potato,juice
david,tomato,coffee
xiao ming,banana,juice
david,orange,tea
david,tomato,tea
xiao ming,bread,juice
david,egg,tea
xiao ming,potato,milk
david,egg,tea
david,egg,coffee
david,orange,tea
david,pizza,tea
xiao ming,potato,milk
david,orange,tea
david,pizza,coffee
david,pizza,coffee
david,orange,tea
david,pizza,tea
xiao ming,apple,milk
xiao ming,bread,milk
david,pizza,coffee
david,pizza,tea
xiao ming,apple,milk
david,egg,tea
david,pizza,coffee
xiao ming,potato,milk
xiao ming,bread,juice
xiao ming,apple,milk
xiao ming,apple,milk
david,egg,coffee
xiao ming,bread,juice
david,pizza,coffee
xiao ming,apple,juice
david,orange,tea
xiao ming,banana,milk
david,pizza,tea
xiao ming,bread,juice
xiao ming,banana,milk
xiao ming,bread,juice
david,orange,tea
david,pizza,tea
david,egg,coffee
xiao ming,bread,milk
david,tomato,coffee
david,egg,coffee
xiao ming,apple,milk
xiao ming,bread,milk
xiao ming,apple,milk
xiao ming,potato,juice
xiao ming,apple,juice
xiao ming,potato,milk
xiao ming,banana,milk
xiao ming,apple,juice
xiao ming,bread,milk
david,tomato,tea
xiao ming,potato,juice
xiao ming,banana,milk
david,pizza,coffee
david,tomato,coffee
xiao ming,bread,juice
david,tomato,tea
david,pizza,tea
david,pizza,tea
david,orange,coffee
xiao ming,potato,juice
xiao ming,apple,milk
david,pizza,coffee
david,pizza,tea
david,tomato,tea
david,tomato,tea
xiao ming,bread,juice
david,pizza,tea
david,tomato,tea
david,egg,tea
xiao ming,banana,milk
xiao ming,bread,milk
xiao ming,potato,juice
xiao ming,apple,milk
david,tomato,coffee
xiao ming,banana,juice
david,tomato,coffee
david,orange,tea
david,orange,tea
david,tomato,coffee
david,tomato,coffee
david,pizza,tea
xiao ming,potato,milk
david,tomato,coffee
xiao ming,potato,juice
david,egg,tea
david,tomato,tea
david,tomato,tea
david,tomato,tea
david,orange,coffee
xiao ming,banana,milk
xiao ming,potato,milk
david,pizza,tea
david,tomato,tea
xiao ming,apple,milk
xiao ming,potato,juice
david,pizza,tea
david,orange,tea
david,orange,coffee
david,egg,tea
david,egg,tea
david,pizza,tea
xiao ming,bread,juice
xiao ming,apple,juice
david,pizza,coffee
david,tomato,tea
david,pizza,tea
david,tomato,coffee
xiao ming,potato,juice
david,tomato,coffee
xiao ming,potato,milk
xiao ming,bread,milk
david,tomato,tea
david,tomato,tea
xiao ming,potato,juice
david,orange,tea
david,tomato,coffee
xiao ming,banana,milk
david,pizza,coffee
david,egg,tea
david,tomato,tea
david,egg,coffee
david,pizza,tea
xiao ming,bread,milk
xiao ming,bread,milk
xiao ming,banana,juice
david,egg,tea
david,orange,tea
xiao ming,bread,milk
xiao ming,banana,milk
david,pizza,coffee
xiao ming,bread,milk
xiao ming,banana,juice
xiao ming,banana,milk
xiao ming,banana,juice
david,tomato,tea
david,egg,coffee
david,pizza,coffee
david,pizza,coffee
david,pizza,tea
xiao ming,banana,milk
david,orange,coffee
david,pizza,tea
david,pizza,tea
david,egg,tea
david,orange,tea
xiao ming,bread,juice
xiao ming,apple,juice
david,pizza,tea
xiao ming,banana,juice
xiao ming,apple,milk
david,tomato,coffee
xiao ming,apple,milk
david,orange,tea
david,egg,tea
xiao ming,bread,milk
david,egg,coffee
david,tomato,coffee
xiao ming,apple,milk
david,egg,tea
david,orange,tea
xiao ming,bread,juice
david,tomato,tea
david,pizza,coffee
xiao ming,apple,milk
xiao ming,bread,milk
xiao ming,potato,milk
xiao ming,potato,juice
xiao ming,apple,milk
david,egg,coffee
david,pizza,tea
david,tomato,tea
david,orange,tea
xiao ming,apple,milk
david,orange,tea
xiao ming,potato,milk
david,egg,tea
xiao ming,banana,milk
david,orange,coffee
xiao ming,banana,milk
david,egg,tea
xiao ming,potato,milk
david,pizza,coffee
david,egg,tea
xiao ming,apple,milk
david,egg,tea
xiao ming,bread,juice
xiao ming,bread,milk
xiao ming,banana,milk
david,egg,coffee
david,tomato,coffee
david,egg,coffee
xiao ming,banana,milk
david,tomato,coffee
david,tomato,coffee
david,tomato,tea
xiao ming,potato,juice
xiao ming,bread,juice
david,tomato,coffee
david,orange,coffee
xiao ming,potato,juice
xiao ming,banana,milk
david,pizza,tea
david,egg,coffee
xiao ming,bread,milk
xiao ming,potato,juice
xiao ming,bread,juice
david,egg,tea
xiao ming,potato,juice
david,egg,tea
david,orange,coffee
xiao ming,banana,milk
xiao ming,apple,juice
david,egg,tea
david,orange,coffee
david,tomato,coffee
david,egg,tea
xiao ming,apple,juice
david,egg,tea
david,tomato,coffee
xiao ming,banana,milk
david,egg,tea
david,orange,tea
david,pizza,tea
xiao ming,potato,milk
david,egg,coffee
david,pizza,coffee
xiao ming,bread,juice
xiao ming,potato,milk
david,tomato,coffee
xiao ming,apple,milk
david,egg,coffee
david,egg,coffee
david,egg,coffee
david,tomato,coffee
xiao ming,banana,milk
xiao ming,bread,juice
david,tomato,coffee
david,orange,tea
xiao ming,apple,milk
david,egg,tea
xiao ming,banana,milk
xiao ming,potato,juice
xiao ming,potato,milk
xiao ming,apple,juice
david,orange,tea
xiao ming,potato,milk
xiao ming,apple,juice
david,tomato,coffee
xiao ming,banana,juice
xiao ming,potato,juice
david,pizza,coffee
xiao ming,banana,milk
xiao ming,apple,juice
david,egg,coffee
xiao ming,bread,juice
xiao ming,apple,milk
david,egg,coffee
david,pizza,coffee
david,tomato,coffee
david,pizza,coffee
david,pizza,tea
david,pizza,tea
david,pizza,coffee
xiao ming,bread,juice
david,tomato,coffee
david,pizza,tea
david,tomato,coffee
xiao ming,potato,juice
xiao ming,apple,milk
xiao ming,banana,juice
xiao ming,apple,milk
xiao ming,potato,juice
xiao ming,banana,juice
xiao ming,banana,juice
david,pizza,tea
xiao ming,bread,juice
xiao ming,banana,juice
david,pizza,tea
david,orange,coffee
xiao ming,bread,milk
david,pizza,tea
david,pizza,tea
david,egg,tea
david,egg,coffee
david,pizza,tea
xiao ming,apple,milk
xiao ming,apple,juice
xiao ming,apple,juice
xiao ming,potato,juice
xiao ming,potato,milk
xiao ming,apple,milk
xiao ming,potato,milk
xiao ming,banana,juice
david,egg,coffee
xiao ming,banana,milk
david,egg,tea
david,tomato,coffee
xiao ming,apple,juice
xiao ming,apple,milk
xiao ming,potato,juice
david,egg,coffee
david,orange,tea
xiao ming,banana,milk
xiao ming,apple,juice
david,egg,coffee
david,tomato,tea
xiao ming,apple,milk
david,pizza,tea
xiao ming,banana,juice
xiao ming,banana,juice
xiao ming,apple,milk
xiao ming,apple,juice
xiao ming,potato,juice
david,tomato,tea
david,egg,tea
david,tomato,tea
david,egg,tea
xiao ming,banana,milk
david,egg,coffee
xiao ming,potato,milk
xiao ming,potato,milk
xiao ming,apple,juice
david,egg,coffee
xiao ming,potato,juice
david,pizza,coffee
david,egg,tea
david,pizza,coffee
xiao ming,apple,milk
david,orange,coffee
xiao ming,banana,milk
xiao ming,bread,milk
xiao ming,apple,milk
xiao ming,apple,juice
david,tomato,tea
david,pizza,coffee
xiao ming,apple,milk
xiao ming,bread,juice
david,tomato,tea
xiao ming,apple,juice
david,pizza,tea
david,pizza,tea
xiao ming,apple,milk
xiao ming,potato,milk
david,egg,tea
xiao ming,potato,juice
david,tomato,coffee
xiao ming,apple,milk
david,orange,tea
david,egg,coffee
xiao ming,potato,milk
david,pizza,tea
xiao ming,banana,milk
david,pizza,coffee
xiao ming,potato,milk
david,pizza,coffee
xiao ming,apple,juice
xiao ming,apple,juice
david,orange,coffee
xiao ming,bread,milk
xiao ming,banana,juice
xiao ming,banana,juice
david,egg,coffee
xiao ming,banana,milk
xiao ming,apple,juice
david,orange,coffee
david,orange,tea
david,orange,tea
xiao ming,banana,juice
xiao ming,bread,juice
david,egg,coffee
xiao ming,apple,milk
david,pizza,coffee
xiao ming,potato,juice
david,tomato,coffee
xiao ming,apple,milk
xiao ming,apple,juice
xiao ming,potato,milk
xiao ming,banana,juice
david,pizza,coffee
xiao ming,bread,juice
xiao ming,bread,juice
david,pizza,tea
xiao ming,apple,milk
david,egg,tea
david,orange,coffee
david,tomato,tea
david,tomato,coffee
david,pizza,coffee
david,egg,coffee
xiao ming,banana,juice
david,tomato,tea
xiao ming,potato,juice
david,pizza,tea
david,pizza,coffee
xiao ming,potato,milk
david,orange,coffee
xiao ming,banana,juice
xiao ming,banana,milk
david,orange,tea
david,tomato,coffee
david,tomato,tea
david,pizza,tea
